gene	protein_length	n_tmd	n_WT_lost	has_WT_lost	n_any_eS7_event	has_any_eS7_event	n_4KR_specific	has_4KR_specific	n_shared	has_shared	single_pass	multi_pass	loc_er	loc_golgi	loc_cell_membrane	loc_mitochondrion	loc_vacuole	loc_nucleus	is_transporter_like	is_transferase_like	mean_tmd_length_aa	mean_relative_tmd_position	min_relative_tmd_position	max_relative_tmd_position	subcellular_location	protein_name	entry_name	uniprot_accession	uniprot_gene_names	uniprot_protein_name	uniprot_length	alphafold_id	alphafold_pdb_url	alphafold_cif_url
BSC2	235	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Lipid droplet {ECO:0000269|PubMed:14562095}. Membrane {ECO:0000269|PubMed:14562095}; Single-pass membrane protein {ECO:0000269|PubMed:14562095}. Note=Punctate lipid particles.	Bypass of stop codon protein 2	BSC2_YEAST	Q05611	BSC2 YDR275W	Bypass of stop codon protein 2	235	AF-Q05611-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q05611-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q05611-F1-model_v4.cif
BSC6	497	11	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	21.0	0.5454545454545454	0.0909090909090909	1.0	SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000305|PubMed:14562095}; Multi-pass membrane protein {ECO:0000305|PubMed:14562095}.	Bypass of stop codon protein 6	BSC6_YEAST	Q08280	BSC6 YOL137W	Bypass of stop codon protein 6	497	AF-Q08280-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q08280-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q08280-F1-model_v4.cif
BSD2	321	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum. Vacuole. Membrane; Multi-pass membrane protein.	Metal homeostatis protein BSD2 (Bypass SOD defects protein 2)	BSD2_YEAST	P38356	BSD2 YBR290W YBR2037	Metal homeostatis protein BSD2 (Bypass SOD defects protein 2)	321	AF-P38356-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P38356-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P38356-F1-model_v4.cif
BST1	1029	9	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	21.0	0.5555555555555556	0.1111111111111111	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.	GPI inositol-deacylase (EC 3.1.-.-) (Bypass of SEC30 protein 1)	BST1_YEAST	P43571	BST1 YFL025C	GPI inositol-deacylase (EC 3.1.-.-) (Bypass of SEC30 protein 1)	1029	AF-P43571-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P43571-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P43571-F1-model_v4.cif
BUD26	95	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.5	0.75	0.5	1.0	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Putative uncharacterized protein BUD26	BUD26_YEAST	Q03783	BUD26 YDR241W	Putative uncharacterized protein BUD26	95	AF-Q03783-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q03783-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q03783-F1-model_v4.cif
BUD8	603	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11514631, ECO:0000269|PubMed:15356260, ECO:0000269|PubMed:20678480, ECO:0000269|PubMed:21625000}; Multi-pass membrane protein {ECO:0000255}. Bud tip {ECO:0000269|PubMed:11514631, ECO:0000269|PubMed:15356260, ECO:0000269|PubMed:20678480, ECO:0000269|PubMed:21625000}. Note=Found at presumptive bud sites, bud tips, and the distal poles of daughter cells. {ECO:0000269|PubMed:11514631, ECO:0000269|PubMed:20678480, ECO:0000269|PubMed:21625000}.	Bud site selection protein 8	BUD8_YEAST	P41698	BUD8 YLR353W L9638.3	Bud site selection protein 8	603	AF-P41698-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P41698-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P41698-F1-model_v4.cif
BUD9	547	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11514631, ECO:0000269|PubMed:20678480}; Multi-pass membrane protein {ECO:0000255}. Bud neck {ECO:0000269|PubMed:11514631}. Bud tip {ECO:0000269|PubMed:11514631, ECO:0000269|PubMed:15356260, ECO:0000269|PubMed:20678480, ECO:0000269|PubMed:21625000}. Note=Found at the birth scar and the necks of large-budded cells and the proximal poles of daughter cells. {ECO:0000269|PubMed:11514631, ECO:0000269|PubMed:20678480, ECO:0000269|PubMed:21625000}.	Bud site selection protein 9	BUD9_YEAST	P53226	BUD9 YGR041W G4152	Bud site selection protein 9	547	AF-P53226-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P53226-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P53226-F1-model_v4.cif
BXI1	297	7	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	21.0	0.5714285714285714	0.1428571428571428	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:21673967}; Multi-pass membrane protein {ECO:0000255}. Vacuole membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:21673659, ECO:0000269|PubMed:21673967}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000269|PubMed:21673659}; Multi-pass membrane protein {ECO:0000255}. Note=Translocated from predominantly vacuolar sites in healthy cells to mitochondria upon apoptosis induction. {ECO:0000269|PubMed:21673659}.	Bax inhibitor 1 (BH3 domain-containing protein BXI1)	BXI1_YEAST	P48558	BXI1 YBH3 YNL305C N0405	Bax inhibitor 1 (BH3 domain-containing protein BXI1)	297	AF-P48558-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P48558-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P48558-F1-model_v4.cif
CAN1	590	12	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	21.0	0.5416666666666666	0.0833333333333333	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12100990, ECO:0000269|PubMed:14551254, ECO:0000269|PubMed:21223946, ECO:0000269|PubMed:21880895, ECO:0000269|PubMed:37005249}; Multi-pass membrane protein {ECO:0000269|PubMed:21880895}. Endosome membrane {ECO:0000269|PubMed:21880895}; Multi-pass membrane protein {ECO:0000269|PubMed:21880895}. Note=Recycled via the retromer-mediated pathway (PubMed:21880895). Requires phosphatidyl ethanolamine (PE) for localization and exclusively associated with lipid rafts called MCCs (membrane compartment occupied by CAN1) (PubMed:12100990, PubMed:14551254, PubMed:21223946). {ECO:0000269|PubMed:12100990, ECO:0000269|PubMed:14551254, ECO:0000269|PubMed:21223946, ECO:0000269|PubMed:21880895}.	Arginine permease CAN1 (Canavanine resistance protein 1)	CAN1_YEAST	P04817	CAN1 YEL063C	Arginine permease CAN1 (Canavanine resistance protein 1)	590	AF-P04817-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P04817-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P04817-F1-model_v4.cif
CAX4	239	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11504728}; Multi-pass membrane protein {ECO:0000269|PubMed:11504728}.	Dolichyldiphosphatase (EC 3.6.1.43) (Dolichyl pyrophosphate phosphatase)	CAX4_YEAST	P53223	CAX4 CWH8 YGR036C	Dolichyldiphosphatase (EC 3.6.1.43) (Dolichyl pyrophosphate phosphatase)	239	AF-P53223-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P53223-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P53223-F1-model_v4.cif
CBP3	335	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	18.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion membrane.	Protein CBP3, mitochondrial	CBP3_YEAST	P21560	CBP3 YPL215W P1775	Protein CBP3, mitochondrial	335	AF-P21560-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P21560-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P21560-F1-model_v4.cif
CBP4	147	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	23.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	Assembly factor CBP4 (Cytochrome b mRNA-processing protein 4)	CBP4_YEAST	P37267	CBP4 YGR174C G7122	Assembly factor CBP4 (Cytochrome b mRNA-processing protein 4)	147	AF-P37267-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P37267-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P37267-F1-model_v4.cif
CBR1	284	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:16407407}; Single-pass membrane protein {ECO:0000255}.	NADH-cytochrome b5 reductase 1 (EC 1.6.2.2) (Microsomal cytochrome b reductase) (P35)	NCB5R_YEAST	P38626	CBR1 CBR CBR5 YIL043C	NADH-cytochrome b5 reductase 1 (EC 1.6.2.2) (Microsomal cytochrome b reductase) (P35)	284	AF-P38626-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P38626-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P38626-F1-model_v4.cif
CCC1	322	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	21.0	0.6	0.2	1.0	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:11390404, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:8866476}. Vacuole membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Protein CCC1 (Cross-complementer of CSG1 protein 1)	CCC1_YEAST	P47818	CCC1 YLR220W L8083.6	Protein CCC1 (Cross-complementer of CSG1 protein 1)	322	AF-P47818-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P47818-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P47818-F1-model_v4.cif
CCC2	1004	8	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	21.5	0.5625	0.125	1.0	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:9325307, ECO:0000269|PubMed:9520490}; Multi-pass membrane protein {ECO:0000255}.	Copper-transporting ATPase (EC 7.2.2.8) (Cu(2+)-ATPase)	ATU2_YEAST	P38995	CCC2 YDR270W D9954.6	Copper-transporting ATPase (EC 7.2.2.8) (Cu(2+)-ATPase)	1004	AF-P38995-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P38995-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P38995-F1-model_v4.cif
CCH1	2039	23	8	1	9	1	0	0	1	1	0	1	0	0	1	0	0	0	1	0	21.0	0.5217391304347826	0.0434782608695652	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10958666}; Multi-pass membrane protein {ECO:0000255}.	Calcium-channel protein CCH1	CCH1_YEAST	P50077	CCH1 YGR217W G8501	Calcium-channel protein CCH1	2039	AF-P50077-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P50077-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P50077-F1-model_v4.cif
CDC1	491	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Cell division control protein 1 (EC 3.1.-.-)	CDC1_YEAST	P40986	CDC1 DSR1 ESP2 YDR182W YD9395.16	Cell division control protein 1 (EC 3.1.-.-)	491	AF-P40986-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P40986-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P40986-F1-model_v4.cif
CDC25	1589	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	22.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	Cell division control protein 25	CDC25_YEAST	P04821	CDC25 CTN1 YLR310C L2142.6	Cell division control protein 25	1589	AF-P04821-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P04821-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P04821-F1-model_v4.cif
CDC50	391	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:21212072, ECO:0000305|PubMed:16956384}; Multi-pass membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:12589066}; Multi-pass membrane protein {ECO:0000269|PubMed:12589066}.	Phospholipid-transporting ATPase accessory subunit CDC50 (Cell division control protein 50)	CDC50_YEAST	P25656	CDC50 SWA4 YCR094W YCR94W	Phospholipid-transporting ATPase accessory subunit CDC50 (Cell division control protein 50)	391	AF-P25656-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P25656-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P25656-F1-model_v4.cif
CDS1	457	6	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	21.0	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein. Cytoplasmic vesicle, secretory vesicle. Note=Exclusively present in the ER, and not in mitochondria. Also associated with post-Golgi apparatus secretory vesicles destined for the plasma membrane.	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CDP-DG synthase) (CTP:phosphatidate cytidylyltransferase)	CDS1_YEAST	P38221	CDS1 CDG1 YBR029C YBR0313	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CDP-DG synthase) (CTP:phosphatidate cytidylyltransferase)	457	AF-P38221-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P38221-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P38221-F1-model_v4.cif
CHO1	276	4	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	21.0	0.625	0.25	1.0	SUBCELLULAR LOCATION: Microsome membrane {ECO:0000269|PubMed:6274497}; Multi-pass membrane protein {ECO:0000269|PubMed:6274497}. Endoplasmic reticulum membrane; Multi-pass membrane protein. Mitochondrion outer membrane {ECO:0000269|PubMed:3005242}; Multi-pass membrane protein {ECO:0000269|PubMed:3005242}.	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase) (PSS)	PSS_YEAST	P08456	CHO1 PSS1 YER026C	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase) (PSS)	276	AF-P08456-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P08456-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P08456-F1-model_v4.cif
CHO2	869	11	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	20.818181818181817	0.5454545454545454	0.0909090909090909	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03217, ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03217}.	Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17) (Choline-requiring protein 2)	CHO2_YEAST	P05374	CHO2 PEM1 YGR157W G6673	Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17) (Choline-requiring protein 2)	869	AF-P05374-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P05374-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P05374-F1-model_v4.cif
CHS1	1131	7	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	21.0	0.5714285714285714	0.1428571428571428	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:2523889}; Multi-pass membrane protein {ECO:0000255}.	Chitin synthase 1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 1)	CHS1_YEAST	P08004	CHS1 YNL192W N1404	Chitin synthase 1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 1)	1131	AF-P08004-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P08004-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P08004-F1-model_v4.cif
CHS2	963	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	21.0	0.5714285714285714	0.1428571428571428	1.0	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.	Chitin synthase 2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 2)	CHS2_YEAST	P14180	CHS2 YBR038W YBR0407	Chitin synthase 2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 2)	963	AF-P14180-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P14180-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P14180-F1-model_v4.cif
CHS3	1165	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	19.5	0.5833333333333334	0.1666666666666666	1.0	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12928491, ECO:0000269|PubMed:17519287, ECO:0000269|PubMed:28346351}; Multi-pass membrane protein {ECO:0000255}. Bud neck {ECO:0000269|PubMed:16818716, ECO:0000269|PubMed:28346351, ECO:0000269|PubMed:8909536}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:12928491, ECO:0000269|PubMed:28346351, ECO:0000269|PubMed:8970154}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to a ring on the surface of cells about to undergo bud emergence and in the mother-bud neck of small-budded cells (PubMed:8909536). Delocalized throughout the plasma membrane during heat shock (PubMed:12928491). Also localizes to intracellular membrane-bound particles called chitosomes, proposed to act as a reservoir for regulated transport of chitin synthase enzymes to the division septum (PubMed:12928491, PubMed:8970154). {ECO:0000269|PubMed:12928491, ECO:0000269|PubMed:8909536, ECO:0000269|PubMed:8970154}.	Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-IV chitin synthase 3)	CHS3_YEAST	P29465	CHS3 CAL1 CSD2 DIT101 KIT2 YBR023C YBR0305	Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-IV chitin synthase 3)	1165	AF-P29465-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P29465-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P29465-F1-model_v4.cif
CHS7	316	7	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	21.0	0.5714285714285714	0.1428571428571428	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10366589}; Multi-pass membrane protein {ECO:0000269|PubMed:10366589}.	Chitin synthase export chaperone	CHS7_YEAST	P38843	CHS7 YHR142W	Chitin synthase export chaperone	316	AF-P38843-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P38843-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P38843-F1-model_v4.cif
CNE1	502	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	Calnexin homolog	CALX_YEAST	P27825	CNE1 YAL058W FUN48	Calnexin homolog	502	AF-P27825-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P27825-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P27825-F1-model_v4.cif
COA1	197	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	21.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	Cytochrome c oxidase assembly factor 1	COA1_YEAST	P40452	COA1 FMP35 YIL157C	Cytochrome c oxidase assembly factor 1	197	AF-P40452-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P40452-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P40452-F1-model_v4.cif
COA3	85	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	23.0	1.0	1.0	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:20876281, ECO:0000269|PubMed:21068384}; Single-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:20876281, ECO:0000269|PubMed:21068384}.	Cytochrome c oxidase assembly factor 3, mitochondrial (Cytochrome c oxidase protein 25) (Required for respiratory growth protein 10)	COA3_YEAST	Q3E7B2	COA3 COX25 RRG10 YJL062W-A	Cytochrome c oxidase assembly factor 3, mitochondrial (Cytochrome c oxidase protein 25) (Required for respiratory growth protein 10)	85	AF-Q3E7B2-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-Q3E7B2-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-Q3E7B2-F1-model_v4.cif
COB	385	8	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	23.875	0.5625	0.125	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:8031140}; Multi-pass membrane protein {ECO:0000269|PubMed:10873857, ECO:0000269|PubMed:11880631, ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554, ECO:0000269|PubMed:8031140}.	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	CYB_YEAST	P00163	COB CYTB Q0105	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	385	AF-P00163-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P00163-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P00163-F1-model_v4.cif
COQ2	372	7	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	21.0	0.5714285714285714	0.1428571428571428	1.0	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03189, ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:24406904}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03189}; Matrix side {ECO:0000255|HAMAP-Rule:MF_03189, ECO:0000269|PubMed:24406904}.	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (4-hydroxybenzoate hexaprenyltransferase) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	COQ2_YEAST	P32378	COQ2 YNR041C N3419	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (4-hydroxybenzoate hexaprenyltransferase) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	372	AF-P32378-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P32378-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P32378-F1-model_v4.cif
COS1	381	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.625	0.25	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Protein COS1	COS1_YEAST	P53822	COS1 YNL336W N0275	Protein COS1	381	AF-P53822-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P53822-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P53822-F1-model_v4.cif
COS10	374	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	23.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Protein COS10	COS10_YEAST	P52924	COS10 YNR075W N3820	Protein COS10	374	AF-P52924-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P52924-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P52924-F1-model_v4.cif
COS12	380	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.6666666666666666	0.3333333333333333	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Protein COS12	COS12_YEAST	P53053	COS12 YGL263W NRC380	Protein COS12	380	AF-P53053-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P53053-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P53053-F1-model_v4.cif
COS2	379	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Protein COS2	COS2_YEAST	P0CX12	COS2 YBR302C YBR2121	Protein COS2	379	AF-P0CX12-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P0CX12-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P0CX12-F1-model_v4.cif
COS3	379	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	21.0	0.75	0.5	1.0	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	Protein COS3	COS3_YEAST	P0CX13	COS3 YML132W YM4987.03	Protein COS3	379	AF-P0CX13-F1-model_v4	https://alphafold.ebi.ac.uk/files/AF-P0CX13-F1-model_v4.pdb	https://alphafold.ebi.ac.uk/files/AF-P0CX13-F1-model_v4.cif
