Entry	Entry Name	Gene Names	Protein names	Length
P0CX77	ASP22_YEAST	ASP3-2 YLR157C L9632.7	L-asparaginase 2-2 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)	362
P0CX78	ASP23_YEAST	ASP3-3 YLR158C L9632.8	L-asparaginase 2-3 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)	362
P0CX79	ASP24_YEAST	ASP3-4 YLR160C L9632.9	L-asparaginase 2-4 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)	362
P0CX80	MTCU1_YEAST	CUP1-1 MTH1 YHR053C	Copper metallothionein 1-1 (Cu-MT) (Cu-metallothionein) (Copper chelatin) (Copper thionein)	61
P0CX81	MTCU2_YEAST	CUP1-2 MTH1 YHR055C	Copper metallothionein 1-2 (Cu-MT) (Cu-metallothionein) (Copper chelatin) (Copper thionein)	61
P0CX82	RL19A_YEAST	RPL19A RPL23A YL14A YBR084C-A YBR084BC	Large ribosomal subunit protein eL19A (60S ribosomal protein L19-A) (L23) (RP15L) (RP33) (YL14)	189
P0CX83	RL19B_YEAST	RPL19B RPL23B YL14B YBL027W YBL0424	Large ribosomal subunit protein eL19 (60S ribosomal protein L19-B) (L23) (RP15L) (RP33) (YL14)	189
P0CX84	RL35A_YEAST	RPL35A SOS1 YDL191W D1249	Large ribosomal subunit protein uL29A (60S ribosomal protein L35-A)	120
P0CX85	RL35B_YEAST	RPL35B SOS2 YDL136W D2170	Large ribosomal subunit protein uL29B (60S ribosomal protein L35-B)	120
P0CY06	MTAL1_YEAST	MATALPHA1 ALPHA-1 MAT1A MATAL1 YCR040W YCR40W	Mating-type protein ALPHA1 (MATalpha1 protein) (Alpha-1 activator)	175
P0CY08	MTAL2_YEAST	MATALPHA2 ALPHA-2 MAT2A MATAL2 YCR039C YCR39C	Mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor)	210
P0CZ17	ASP21_YEAST	ASP3-1 YLR155C L9632.6	L-asparaginase 2-1 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)	362
P10080	SSBP1_YEAST	SBP1 SSB1 SSBR1 YHL034C	Single-stranded nucleic acid-binding protein	294
P10081	IF4A_YEAST	TIF1 TIF41A YKR059W; TIF2 TIF41B YJL138C J0660	ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Stimulator factor I 37 kDa component) (Translation initiation factor 1/2) (p37)	395
P10127	ADH4_YEAST	ADH4 ZRG5 YGL256W NRC465	Alcohol dehydrogenase 4 (EC 1.1.1.1) (Alcohol dehydrogenase IV) (ADHIV)	382
P10174	COX7_YEAST	COX7 YMR256C YM9920.10C	Cytochrome c oxidase subunit 7, mitochondrial (Cytochrome c oxidase polypeptide VII)	60
P10363	PRI1_YEAST	PRI1 YIR008C YIB8C	DNA primase small subunit (EC 2.7.7.-) (DNA polymerase alpha:primase complex p48 subunit) (DNA polymerase-primase complex p48 subunit) (Pol alpha-primase complex p48 subunit) (DNA primase 48 kDa subunit)	409
P10507	MPPB_YEAST	MAS1 MIF1 YLR163C L9632.10	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (Mitochondrial assembly protein 1) (Processing enhancing protein) (PEP)	462
P10591	HSP71_YEAST	SSA1 YAL005C	Heat shock protein SSA1 (Heat shock protein YG100)	642
P10592	HSP72_YEAST	SSA2 YLL024C L0931	Heat shock protein SSA2	639
P10614	CP51_YEAST	ERG11 CYP51 YHR007C	Lanosterol 14-alpha demethylase CYP51 (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (CYPLI) (Ergosterol biosynthetic protein 11) (Lanosterol C14-C32 lyase) (Sterol 14-alpha demethylase)	530
P10622	RLA3_YEAST	RPP1B L12EIIB RPL44P RPLA3 YDL130W	Large ribosomal subunit protein P1B (P1B) (60S acidic ribosomal protein P1-beta) (Ax) (L12eIIB) (L44') (YP1beta)	106
P10659	METK1_YEAST	SAM1 ETH10 YLR180W L9470.9	S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1)	382
P10664	RL4A_YEAST	RPL4A RPL2 RPL2A YBR031W YBR0315	Large ribosomal subunit protein uL4A (60S ribosomal protein L4-A) (L2) (RP2) (YL2)	362
P10823	GPA2_YEAST	GPA2 SSP101 YER020W	Guanine nucleotide-binding protein alpha-2 subunit (GP2-alpha)	449
P10862	RAD18_YEAST	RAD18 YCR066W YCR66W	Postreplication repair E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAD18) (Radiation sensitivity protein 18)	487
P10863	TIR1_YEAST	TIR1 SRP1 YER011W	Cold shock-induced protein TIR1 (Serine-rich protein 1) (TIP1-related protein 1)	254
P10869	AK_YEAST	HOM3 YER052C	Aspartokinase (EC 2.7.2.4) (Aspartate kinase)	527
P10870	SNF3_YEAST	SNF3 YDL194W D1234	Low glucose sensor SNF3 (High-affinity glucose receptor SNF3) (High-affinity transporter-like sensor SNF3) (Sucrose nonfermenting protein 3)	884
P10961	HSF_YEAST	HSF1 YGL073W	Heat shock transcription factor (HSTF) (Heat shock factor protein) (HSF)	833
P10962	MAK16_YEAST	MAK16 YAL025C	Protein MAK16 (Maintenance of killer protein 16)	306
P10964	RPA1_YEAST	RPA190 RPA1 RRN1 YOR341W O6276	DNA-directed RNA polymerase I subunit RPA190 (EC 2.7.7.6) (DNA-directed RNA polymerase I 190 kDa polypeptide) (A190) (DNA-directed RNA polymerase I largest subunit)	1664
P11075	SEC7_YEAST	SEC7 YDR170C YD9395.01C YD9489.05C	ADP-ribosylation factor guanine nucleotide-exchange factor SEC7 (ARF-GEP SEC7)	2009
P11076	ARF1_YEAST	ARF1 YDL192W D1244	ADP-ribosylation factor 1 (EC 3.6.5.2)	181
P11154	PYC1_YEAST	PYC1 PYV YGL062W	Pyruvate carboxylase 1 (EC 6.4.1.1) (Pyruvic carboxylase 1) (PCB 1)	1178
P11325	SYLM_YEAST	NAM2 MSL1 YLR382C L3502.6	Leucine--tRNA ligase, mitochondrial (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	894
P11353	HEM6_YEAST	HEM13 YDR044W YD5112.02	Oxygen-dependent coproporphyrinogen-III oxidase (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	328
P11412	G6PD_YEAST	ZWF1 MET19 YNL241C N1110	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	505
P11433	CDC24_YEAST	CDC24 CLS4 YAL041W	Cell division control protein 24 (Calcium regulatory protein)	854
P11484	SSB1_YEAST	SSB1 YG101 YDL229W	Ribosome-associated molecular chaperone SSB1 (EC 3.6.4.10) (Cold-inducible protein YG101) (Heat shock protein SSB1) (Hsp70 chaperone Ssb)	613
P11491	PPB_YEAST	PHO8 YDR481C D8035.24	Repressible alkaline phosphatase (EC 3.1.3.1) (Fructose-2,6-bisphosphate 6-phosphatase) (EC 3.1.3.54) (Membrane-bound repressible alkaline phosphatase) [Cleaved into: Soluble alkaline phosphatase (EC 3.1.7.6) (Farnesyl diphosphatase)]	566
P11632	NHP6A_YEAST	NHP6A NHPA YPR052C YP9499.09C	Non-histone chromosomal protein 6A	93
P11633	NHP6B_YEAST	NHP6B NHPB YBR089C-A YBR090BC	Non-histone chromosomal protein 6B	99
P11655	SEC12_YEAST	SEC12 SED2 YNR026C N3244	Guanine nucleotide-exchange factor SEC12 (Protein transport protein SEC12)	471
P11709	BIK1_YEAST	BIK1 YCL029C YCL29C	Nuclear fusion protein BIK1	440
P11710	FUS1_YEAST	FUS1 YCL027W YCL27W	Nuclear fusion protein FUS1	512
P11745	RNA1_YEAST	RNA1 YMR235C YM9959.17C	Ran GTPase-activating protein 1 (Protein involved in RNA production/processing)	407
P11746	MCM1_YEAST	MCM1 FUN80 YMR043W YM9532.08	Pheromone receptor transcription factor (GRM/PRTF protein)	286
P11747	TAF13_YEAST	TAF13 FUN81 TAF19 YML098W	Transcription initiation factor TFIID subunit 13 (Function unknown 81 protein) (TAFII-19) (TAFII19) (TBP-associated factor 13) (TBP-associated factor 19 kDa)	167
P11792	SCH9_YEAST	SCH9 KOM1 YHR205W	Serine/threonine-protein kinase SCH9 (EC 2.7.11.1)	824
P11914	MPPA_YEAST	MAS2 MIF2 YHR024C	Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (Matrix processing peptidase) (MPP) (Mitochondrial assembly protein 2) (Mitochondrial import function protein 2)	482
P11938	RAP1_YEAST	RAP1 GRF1 TUF1 YNL216W N1310	DNA-binding protein RAP1 (Repressor/activator site-binding protein) (SBF-E) (TUF)	827
P11972	SST2_YEAST	SST2 YLR452C L9324.9	Protein SST2	698
P11978	SIR4_YEAST	SIR4 ASD1 STE9 UTH2 YDR227W YD9934.12	Regulatory protein SIR4 (Silent information regulator 4)	1358
P11986	INO1_YEAST	INO1 YJL153C J0610	Inositol-3-phosphate synthase (MIP synthase) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (IPS) (MI-1-P synthase)	533
P12383	PDR1_YEAST	PDR1 AMY1 ANT1 BOR2 CYH3 NRA2 SMR2 TIL1 TPE1 TPE3 YGL013C	Transcription factor PDR1 (Pleiotropic drug resistance protein 1)	1068
P12385	ERF1_YEAST	SUP45 SAL4 SUP1 YBR143C YBR1120	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Omnipotent suppressor protein 1)	437
P12611	WHI2_YEAST	WHI2 YOR043W	Growth regulation protein	486
P12630	BAR1_YEAST	BAR1 SST1 YIL015W	Barrierpepsin (EC 3.4.23.35) (BAR proteinase) (Extracellular 'barrier' protein)	587
P12683	HMDH1_YEAST	HMG1 YML075C	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (HMG-CoA reductase 1) (EC 1.1.1.34)	1054
P12684	HMDH2_YEAST	HMG2 YLR450W L9324.2	3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 (HMG-CoA reductase 2) (EC 1.1.1.34)	1045
P12688	YPK1_YEAST	YPK1 SLI2 YKL126W	Serine/threonine-protein kinase YPK1 (EC 2.7.11.1) (Sphingosine-like immunosuppressant resistant protein 2) (Yeast protein kinase 1)	680
P12689	REV1_YEAST	REV1 YOR346W O6339	Translesion synthesis protein REV1 (Reversionless protein 1) (Template-dependent deoxycytidyl transferase REV1) (EC 2.7.7.-)	985
P12695	ODP2_YEAST	LAT1 ODP2 PDA2 YNL071W N2374	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)	482
P12709	G6PI_YEAST	PGI1 YBR196C YBR1406	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase) (EC 5.1.3.-) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	554
P12753	RAD50_YEAST	RAD50 YNL250W N0872	DNA repair protein RAD50 (EC 3.6.-.-) (153 kDa protein)	1312
P12754	EI2BD_YEAST	GCD2 TIF224 YGR083C	Translation initiation factor eIF2B subunit delta (GCD complex subunit GCD2) (Guanine nucleotide exchange factor subunit GCD2) (eIF2B GDP-GTP exchange factor subunit delta)	651
P12866	STE6_YEAST	STE6 YKL209C	Alpha-factor-transporting ATPase (EC 7.4.2.7) (Mating factor A secretion protein STE6) (Multiple drug resistance protein homolog) (P-glycoprotein)	1290
P12868	PEP5_YEAST	PEP5 END1 VAM1 VPL9 VPS11 VPT11 YMR231W YM9959.13	E3 ubiquitin-protein ligase PEP5 (EC 2.3.2.27) (Carboxypeptidase Y-deficient protein 5) (Histone E3 ligase PEP5) (RING-type E3 ubiquitin transferase PEP5) (Vacuolar biogenesis protein END1) (Vacuolar morphogenesis protein 1) (Vacuolar protein sorting-associated protein 11) (Vacuolar protein-targeting protein 11)	1029
P12904	AAKG_YEAST	SNF4 CAT3 SCI1 YGL115W	5'-AMP-activated protein kinase subunit gamma (AMPK gamma) (AMPK subunit gamma) (Regulatory protein CAT3) (Sucrose non-fermenting protein 4)	322
P12945	NAT1_YEAST	NAT1 AAA1 YDL040C D2720	N-terminal acetyltransferase A complex subunit NAT1 (NatA complex subunit NAT1) (Amino-terminal, alpha-amino, acetyltransferase 1)	854
P12954	SRS2_YEAST	SRS2 HPR5 RADH YJL092W J0913	ATP-dependent DNA helicase SRS2 (EC 5.6.2.4) (DNA 3'-5' helicase SRS2)	1174
P12962	CAF20_YEAST	CAF20 CAF2 CAP20 YOR276W O5453W	Cap-associated protein CAF20 (20 kDa cap-associated protein) (CCR4-associated factor 2) (p20)	161
P13099	TOP3_YEAST	TOP3 EDR1 YLR234W L8083.3	DNA topoisomerase 3 (EC 5.6.2.1) (DNA topoisomerase III)	656
P13134	KEX2_YEAST	KEX2 QDS1 YNL238W N1122	Kexin (EC 3.4.21.61) (Protease KEX2) (Proteinase YSCF)	814
P13185	KIN1_YEAST	KIN1 YDR122W YD9727.17	Serine/threonine protein kinase KIN1 (EC 2.7.11.1)	1064
P13186	KIN2_YEAST	KIN2 YLR096W L8004.3	Serine/threonine-protein kinase KIN2 (EC 2.7.11.1)	1147
P13259	PCY1_YEAST	PCT1 CCT CCT1 YGR202C G7729	Choline-phosphate cytidylyltransferase (EC 2.7.7.15) (CTP:phosphocholine cytidylyltransferase) (CCT) (CT) (Phosphorylcholine transferase)	424
P13365	CG13_YEAST	CLN3 DAF1 WHI1 YAL040C FUN10	G1/S-specific cyclin CLN3	580
P13382	DPOLA_YEAST	POL1 CDC17 YNL102W N2181	DNA polymerase alpha catalytic subunit A (EC 2.7.7.7) (DNA polymerase I subunit A) (DNA polymerase alpha:primase complex p180 subunit) (DNA polymerase-primase complex p180 subunit) (Pol alpha-primase complex p180 subunit)	1468
P13393	TBP_YEAST	SPT15 BTF1 TBP1 YER148W	TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (TATA-box factor) (Transcription factor D) (Transcription initiation factor TFIID TBP subunit)	240
P13434	HAP3_YEAST	HAP3 YBL021C YBL0441	Transcriptional activator HAP3 (UAS2 regulatory protein A)	144
P13517	CAPZB_YEAST	CAP2 YIL034C	F-actin-capping protein subunit beta	287
P13574	STE12_YEAST	STE12 YHR084W	Protein STE12	688
P13586	ATC1_YEAST	PMR1 BSD1 SCC1 YGL167C G1666	Calcium-transporting ATPase 1 (EC 7.2.2.10) (Bypass SOD defects protein 1) (Golgi Ca(2+)-ATPase)	950
P13587	ATN1_YEAST	ENA1 HOR6 PMR2 PMR2A YDR040C YD6888.02C	Sodium/potassium exporting P-type ATPase 1 (EC 7.2.2.3)	1091
P13663	DHAS_YEAST	HOM2 YDR158W YD8358.12	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	365
P13712	MSI1_YEAST	MSI1 CAC3 YBR195C YBR1405	Histone-binding protein MSI1 (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Chromatin assembly factor 1 subunit p50) (CAF-1 p50 subunit) (IRA1 multicopy suppressor)	422
P13856	RSR1_YEAST	RSR1 BUD1 YGR152C G6658	Ras-related protein RSR1 (EC 3.6.5.2)	272
P14020	DPM1_YEAST	DPM1 SED3 YPR183W P9705.3	Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) (Dolichol-phosphate mannose synthase) (DPM synthase) (Dolichyl-phosphate beta-D-mannosyltransferase) (Mannose-P-dolichol synthase) (MPD synthase)	267
P14064	HAP4_YEAST	HAP4 YKL109W YKL465	Transcriptional activator HAP4	554
P14065	GCY1_YEAST	GCY1 GCY YOR120W O31567 YOR3269W	Glycerol 2-dehydrogenase (NADP(+)) (EC 1.1.1.156) (Galactose-inducible crystallin-like protein 1)	312
P14120	RL30_YEAST	RPL30 RPL32 YGL030W	Large ribosomal subunit protein eL30 (60S ribosomal protein L30) (L32) (RP73) (YL38)	105
P14126	RL3_YEAST	RPL3 MAK8 TCM1 YOR063W YOR29-14	Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (Maintenance of killer protein 8) (RP1) (Trichodermin resistance protein) (YL1)	387
P14164	ABF1_YEAST	ABF1 BAF1 OBF1 REB2 SBF1 YKL112W YKL505	ARS-binding factor 1 (Bidirectionally acting factor 1) (DNA replication enhancer-binding protein OBF1) (SFB-B)	731
P14180	CHS2_YEAST	CHS2 YBR038W YBR0407	Chitin synthase 2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 2)	963
P14242	PMS1_YEAST	PMS1 YNL082W N2317	DNA mismatch repair protein PMS1 (Postmeiotic segregation protein 1)	873
P14284	DPOZ_YEAST	REV3 PSO1 YPL167C P2535	DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3)	1504
P14291	RED1_YEAST	RED1 YLR263W L8479.6	Protein RED1 (Reductional division protein 1)	827
P14306	CPYI_YEAST	TFS1 DKA1 NSP1 YLR178C L9470.19	Carboxypeptidase Y inhibitor (CPY inhibitor) (CDC25 suppressor 1) (I(C)) (Ic) (Protein DKA1) (Protein NSP1)	219
P14540	ALF_YEAST	FBA1 YKL060C YKL320	Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	359
P14680	YAK1_YEAST	YAK1 YJL141C J0652	Dual specificity protein kinase YAK1 (EC 2.7.12.1)	807
P14681	KSS1_YEAST	KSS1 YGR040W	Mitogen-activated protein kinase KSS1 (MAP kinase KSS1) (EC 2.7.11.24) (Kinase suppressor of SST2)	368
P14682	UBC3_YEAST	CDC34 DNA6 UBC3 YDR054C D4211 YD9609.08C	Ubiquitin-conjugating enzyme E2-34 kDa (EC 2.3.2.23) (Cell division control protein 34) (E2 ubiquitin-conjugating enzyme 3) (E3 ubiquitin ligase complex SCF subunit CDC34) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	295
P14693	SAM35_YEAST	SAM35 OMP85 TOB38 TOM38 YHR083W	Sorting assembly machinery 35 kDa subunit (Mitochondrial 38 kDa outer membrane protein) (TOB complex 38 kDa subunit)	329
P14724	CDC26_YEAST	CDC26 HIT3 SCD26 YFR036W	Anaphase-promoting complex subunit CDC26 (Cell division control protein 26)	124
P14736	RAD4_YEAST	RAD4 YER162C	DNA repair protein RAD4	754
P14737	RAD9_YEAST	RAD9 YDR217C YD9934.02C	DNA repair protein RAD9	1309
P14741	EI2BA_YEAST	GCN3 AAS2 TIF221 YKR026C	Translation initiation factor eIF2B subunit alpha (GCD complex subunit GCN3) (Guanine nucleotide exchange factor subunit GCN3) (Translational activator GCN3) (eIF2B GDP-GTP exchange factor subunit alpha)	305
P14742	GFA1_YEAST	GFA1 YKL104C YKL457	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase)	717
P14743	NMT_YEAST	NMT1 CDC72 YLR195C L8167.14	Glycylpeptide N-tetradecanoyltransferase (EC 2.3.1.97) (Cell division control protein 72) (Myristoyl-CoA:protein N-myristoyltransferase) (NMT) (Peptide N-myristoyltransferase)	455
P14747	PP2B2_YEAST	CMP2 CNA2 YML057W YM9958.05	Serine/threonine-protein phosphatase 2B catalytic subunit A2 (EC 3.1.3.16) (Calcineurin A2) (Calmodulin-binding protein 2)	604
P14772	BPT1_YEAST	BPT1 YLL015W L1313	Bile pigment transporter 1	1559
P14832	CYPH_YEAST	CPR1 CPH1 CYP1 SCC1 YDR155C YD8358.10C	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (PPI-II) (Rotamase)	162
P14843	AROF_YEAST	ARO3 YDR035W YD9673.07	Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	370
P14904	AMPL_YEAST	APE1 API LAP4 YSC1 YKL103C YKL455	Vacuolar aminopeptidase 1 (EC 3.4.11.22) (Aminopeptidase yscI) (Leucine aminopeptidase IV) (LAPIV) (Lysosomal aminopeptidase III) (Polypeptidase) (Vacuolar aminopeptidase I)	514
P14906	SEC63_YEAST	SEC63 NPL1 PTL1 YOR254C	Protein translocation protein SEC63 (Protein NPL1) (Sec62/63 complex 73 kDa subunit)	663
P14907	NSP1_YEAST	NSP1 YJL041W J1207	Nucleoporin NSP1 (Nuclear pore protein NSP1) (Nucleoskeletal-like protein) (p110)	823
P14908	MTF1_YEAST	MTF1 YMR228W YM9959.10	Mitochondrial transcription factor 1 (EC 2.1.1.-) (Mitochondrial transcription factor mtTFB) (Mitochondrial-specificity factor) (RF1023)	341
P14922	CYC8_YEAST	CYC8 CRT8 SSN6 YBR112C YBR0908	General transcriptional corepressor CYC8 (Glucose repression mediator protein CYC8)	966
P15019	TAL1_YEAST	TAL1 YLR354C L9638.6	Transaldolase (EC 2.2.1.2)	335
P15108	HSC82_YEAST	HSC82 YMR186W YM8010.16	ATP-dependent molecular chaperone HSC82 (82 kDa heat shock cognate protein) (Heat shock protein Hsp90 constitutive isoform)	705
P15180	SYKC_YEAST	KRS1 GCD5 YDR037W YD9673.09	Lysine--tRNA ligase, cytoplasmic (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	591
P15202	CATA_YEAST	CTA1 YDR256C YD9320A.06C	Peroxisomal catalase A (EC 1.11.1.6)	515
P15274	AMPD_YEAST	AMD1 AMD YML035C	AMP deaminase (EC 3.5.4.6) (Myoadenylate deaminase)	810
P15303	SEC23_YEAST	SEC23 YPR181C P9705.14	Protein transport protein SEC23	768
P15315	CUP2_YEAST	CUP2 ACE1 YGL166W G1810	Transcriptional activator protein CUP2 (Copper-fist transcription factor)	225
P15367	SEC11_YEAST	SEC11 YIR022W	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89) (Secretory protein 11) (Signal peptidase I)	167
P15424	MS116_YEAST	MSS116 YDR194C YD9346.05C	ATP-dependent RNA helicase MSS116, mitochondrial (EC 3.6.4.13)	664
P15436	DPOD_YEAST	POL3 CDC2 TEX1 YDL102W D2366	DNA polymerase delta catalytic subunit (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase III)	1097
P15442	GCN2_YEAST	GCN2 AAS1 YDR283C	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (General control non-derepressible protein 2) (Serine/threonine-protein kinase GCN2)	1659
P15454	KGUA_YEAST	GUK1 YDR454C D9461.39	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	187
P15496	IDI1_YEAST	IDI1 BOT2 YPL117C LPH10C	Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase) (IPP isomerase)	288
P15565	TRM1_YEAST	TRM1 YDR120C YD9727.15C	tRNA (guanine(26)-N(2))-dimethyltransferase, mitochondrial (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)	570
P15624	SYFB_YEAST	FRS1 YLR060W L2165	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	595
P15625	SYFA_YEAST	FRS2 YFL022C	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	503
P15646	FBRL_YEAST	NOP1 LOT3 YDL014W D2870	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase) (U3 small nucleolar RNA-associated protein NOP1) (Nucleolar protein 1) (U3 snoRNA-associated protein NOP1)	327
P15700	KCY_YEAST	URA6 SOC8 YKL024C	Uridylate kinase (UK) (EC 2.7.4.14) (ATP:UMP phosphotransferase) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Suppressor of cdc8 protein) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	204
P15703	BGL2_YEAST	BGL2 SCW9 YGR282C	Glucan 1,3-beta-glucosidase (EC 3.2.1.58) (Exo-1,3-beta-glucanase) (GP29) (Soluble cell wall protein 9)	313
P15705	STI1_YEAST	STI1 YOR027W OR26.17	Heat shock protein STI1	589
P15731	UBC4_YEAST	UBC4 YBR082C YBR0745	Ubiquitin-conjugating enzyme E2 4 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 4) (Ubiquitin carrier protein 4) (Ubiquitin-protein ligase 4)	148
P15732	UBC5_YEAST	UBC5 YDR059C D4234 YD9609.13C	Ubiquitin-conjugating enzyme E2-16 kDa (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 5) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	148
P15790	CSK21_YEAST	CKA1 YIL035C	Casein kinase II subunit alpha (CK II subunit alpha) (EC 2.7.11.1)	372
P15801	DPOG_YEAST	MIP1 YOR330C	DNA polymerase gamma (EC 2.7.7.7) (Mitochondrial DNA polymerase catalytic subunit)	1254
P15807	MET8_YEAST	MET8 YBR213W YBR1461	Siroheme biosynthesis protein MET8 [Includes: Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	274
P15873	PCNA_YEAST	POL30 YBR088C YBR0811	DNA sliding clamp PCNA (Proliferating cell nuclear antigen) (PCNA)	258
P15891	ABP1_YEAST	ABP1 YCR088W YCR88W	Actin-binding protein	592
P15938	PRP16_YEAST	PRP16 YKR086W YKR406	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (EC 3.6.4.13)	1071
P15992	HSP26_YEAST	HSP26 YBR072W YBR0714	Heat shock protein 26 (26 kDa heat shock protein)	214
P16120	THRC_YEAST	THR4 YCR053W YCR53W	Threonine synthase (TS) (EC 4.2.3.1)	514
P16140	VATB_YEAST	VMA2 VAT2 YBR127C YBR1002	V-type proton ATPase subunit B (V-ATPase subunit B) (V-ATPase 57 kDa subunit) (Vacuolar proton pump subunit B)	517
P16370	RPB3_YEAST	RPB3 YIL021W	DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (B44.5) (DNA-directed RNA polymerase II 45 kDa polypeptide)	318
P16387	ODPA_YEAST	PDA1 YER178W	Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial (EC 1.2.4.1) (Pyruvate dehydrogenase complex component E1 alpha) (PDHE1-A)	420
P16451	ODPX_YEAST	PDX1 YGR193C G7579	Pyruvate dehydrogenase complex protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (Pyruvate dehydrogenase complex component E3BP)	410
P16467	PDC5_YEAST	PDC5 YLR134W L3133 L9606.7	Pyruvate decarboxylase isozyme 2 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	563
